house,name,pv_roof_area,roof_area,power_per_area,capacity,pv_efficiency,inverter_efficiency,floor_area,latitude,longitude,elevation,albedo,roof_tilt,azimuth,with_dr,phase,voltage,angle,frequency,mcast_ip_local,mcast_port_local,mcast_ip_global,mcast_port_global,s0,e0,s1,e1,s2,e2,s3,e3,s4,e4,s5,e5,s6,e6,s7,e7,s8,e8,s9,e9,load_class,load_type,profile,skew,irradiance,irradiance_roof,irradiance_wall1,irradiance_wall2,irradiance_wall3,irradiance_wall4,counter,min_cycletime,min_coolingtime,min_heatingtime,min_chargingtime,min_dischargingtime,charging_counter,discharging_counter,proposed_status,actual_status,proposed_demand,actual_demand
H001,PV001,0.49374144325836583,80.70196230801767,101.63790260143178,5400.0,0.1705610828593335,0.9126641562984166,67.99,-36.893659061796384,174.8465715646012,76.02717229464324,0.31814608844668474,32.59678663284426,0.0,True,AN,230.0,0.0,50.0,236.246.190.68,12340,224.0.2.0,10000,10.990799556432112,11.005162557528118,13.464123589206359,13.47795462934119,9.872459658598945,9.890409324988617,12.556915992915048,12.563496314766091,13.300545841270463,13.313253597636193,12.296286789515516,12.304701269106735,12.954000148981097,12.96178127962756,12.007830527601561,12.019332280651506,11.474558065366164,11.477759015356462,12.642234852383034,12.653064167873753,der,solar,Solarcity,0,0,0,0,0,0,0,49.69451801197407,46.716250931732745,36.2264526955534,39.03754490997967,5,5,5,5,1,1,0,0
H002,PV002,0.4869824288794004,14.563364843034247,107.45466624630966,0.0,0.16348509687604623,0.9103012110586758,11.69,-36.79723902947526,174.76875163405177,75.83289190459823,0.23344933733356893,36.61137307849634,180.0,True,BN,230.0,120.0,50.0,233.240.198.43,10402,224.0.2.0,10000,12.75580716720533,12.771629464874671,14.360058823756729,14.361058823756728,12.5230083861083,12.535797010233807,11.639882436143555,11.642735799022924,11.730320604703659,11.746699615178004,12.089822698345504,12.107127600385027,12.799901895207901,12.811772664190915,11.466378009913868,11.467378009913867,13.133844945126931,13.145148240959937,12.701835942902987,12.709203343152119,der,solar,Solarcity,0,0,0,0,0,0,0,29.89583552113605,15.486799446479857,58.05515218831542,16.185592333856192,5,5,5,5,1,1,0,0
H003,PV003,0.4488359328998486,17.632696110809466,92.17627502797836,0.0,0.17865889001320182,0.8943401552645791,14.0,-36.84336720140828,174.80249660814792,78.19552632503891,0.11986916104912951,37.441023102959804,180.0,True,CN,230.0,-120.0,50.0,224.15.77.40,10041,224.0.2.0,10000,13.081739246303611,13.090262999158275,12.40897213228423,12.425660260341305,13.464126076222957,13.470674226922684,11.399499826482842,11.400520897359359,12.27759743426588,12.292942034390691,10.584785023041816,10.591903484759444,13.223543362167911,13.240496955099173,12.238491897901955,12.243023372430798,11.078805691395052,11.083194772830986,12.663990693457686,12.673319415072688,der,solar,Solarcity,0,0,0,0,0,0,0,48.637148475192774,58.624273094785806,14.831938504210934,47.5501840771614,5,5,5,5,1,1,0,0
H004,PV004,0.4805984202872173,14.445480345678298,100.18824905670438,0.0,0.16983093723698095,0.8845871369446303,11.37,-36.780879165959334,174.75848258954295,77.95272392646385,0.1348428775820221,38.084919756047505,0.0,True,BN,230.0,0.0,50.0,230.138.30.240,12078,224.0.2.0,10000,11.549312578803093,11.558535078498752,12.694596985423273,12.711644037450135,12.854514331325705,12.871886362368427,13.427905514968844,13.441780284621544,13.223758291423264,13.233387755469794,13.906258469962332,13.914389039144107,11.606136585269038,11.622223696808323,13.859674419776935,13.865597406579337,10.518589462699696,10.526794521911542,10.424256156995222,10.431490582673241,der,solar,Solarcity,0,0,0,0,0,0,0,27.27582260114706,54.170458528793084,32.09305869297556,19.991495334922554,5,5,5,5,1,1,0,0
H005,PV005,0.48584596998680646,23.41842287788998,99.64613818720012,5400.0,0.1702849130017657,0.8995141540364798,19.87,-36.839134902736376,174.80065984872905,76.4557913877301,0.14206675273515107,31.953564612826497,0.0,True,CN,230.0,120.0,50.0,230.23.164.157,10736,224.0.2.0,10000,12.662003493692948,12.666929381094963,12.89109292913979,12.903302222473144,11.62209972103389,11.632499200194552,12.264349124671774,12.280354138083828,10.389710982076968,10.401583015911468,12.044329083637608,12.056610320243452,12.775020678190923,12.787270975765805,10.756991767068262,10.770264290172944,14.30768258244327,14.31530950673199,12.205948058095005,12.207116032775136,der,solar,Solarcity,0,0,0,0,0,0,0,36.00061998806993,36.870838396894385,42.04107380086338,37.38251044341246,5,5,5,5,1,1,0,0
H006,PV006,0.4761048451430507,383.8783363761052,96.7039462064218,4820.0,0.16512019936102726,0.9096222204444492,301.94877439311745,-36.77754159568306,174.7854151903698,77.78417127627264,0.16873557128405556,38.13349723618892,182.0750380916017,True,CN,230.0,-120.0,50.0,231.235.196.254,12854,224.0.2.0,10000,12.814915389440214,12.820946365767972,10.958192365588486,10.968995948763208,12.083790220861284,12.089274182705338,11.237485326859627,11.249483154566532,13.219539703218551,13.22397182804065,11.68276701054651,11.699534107755813,10.300941138798368,10.318121284842142,14.755218326926423,14.768950541927188,10.501828732715115,10.515106900797063,13.839819444141115,13.846703735148974,der,solar,Solarcity,0,0,0,0,0,0,0,42.68383128084695,5.242694108560276,14.438011574106556,58.251137420474464,5,5,5,5,1,1,0,0
H007,PV007,0.46913253534495264,236.47267410868508,106.67068670073213,5900.0,0.16821779370698173,0.8793278121596202,200.29213234105967,-36.831263520428394,174.74493233774962,77.64813885470431,0.2067164931491267,32.11324472005101,181.60115747512046,True,AN,230.0,0.0,50.0,232.221.91.102,11374,224.0.2.0,10000,13.410966720533928,13.430863775432387,11.286061698617925,11.291297844230225,13.65163775550183,13.65568028941298,12.347685215710364,12.364140870172015,11.2080881959101,11.214738338374701,13.231123995019912,13.244506656538283,11.407394829869286,11.42659822768162,12.963946340648107,12.97407715054104,11.56991292892276,11.579820462486468,11.06056370202367,11.076128761442906,der,solar,Solarcity,0,0,0,0,0,0,0,55.138908639538435,12.381423300364334,19.22060403662861,34.525053546844774,5,5,5,5,1,1,0,0
H008,PV008,0.46643683264495894,196.8562575104033,90.54872494809783,4890.0,0.18489437695091276,0.8906293762020886,161.25870411769813,-36.81555631417916,174.77335684048433,77.54408660800064,0.2653429351081886,34.99822477013012,177.80256295349056,True,BN,230.0,120.0,50.0,229.133.115.28,11999,224.0.2.0,10000,11.36446080908018,11.373576468124412,10.35738112458017,10.35838112458017,12.469192655223411,12.487220313163307,10.263055664482145,10.274460699301246,11.086909018203777,11.101291304257666,11.169005029826174,11.182633104809852,12.134527317604473,12.145648057825357,11.421559051313272,11.431814600107725,12.45581042864469,12.460196831599282,11.567572633496823,11.579249079227367,der,solar,Solarcity,0,0,0,0,0,0,0,55.42389277308108,24.15715945722941,3.080276813237667,53.209722648484295,5,5,5,5,1,1,0,0
H009,PV009,0.48062722385220447,320.45666523785485,104.16960805138304,4600.0,0.17333410524371845,0.9027727824407807,276.0488922616154,-36.83316382043322,174.80993095337226,75.9135329302644,0.23334909838771214,30.52321242329416,179.16133245045276,True,CN,230.0,-120.0,50.0,226.61.105.212,10169,224.0.2.0,10000,11.15764706396105,11.159405137908296,12.480578047620535,12.493790969251199,9.483146420189826,9.49384205370457,11.578300670126785,11.588698911144817,11.864049893034748,11.874154869910658,10.68810177700944,10.706553551568035,11.219922629624202,11.234764142367858,12.747382195263977,12.760056473881239,12.971789351582231,12.985714775756248,12.446721112618283,12.45656325650517,der,solar,Solarcity,0,0,0,0,0,0,0,18.308888627167946,56.919160087316776,13.116064373615714,55.52253304160176,5,5,5,5,1,1,0,0
H010,PV010,0.4914493191309678,167.03386227558235,94.77119012814516,5610.0,0.159830202600753,0.9005087717747848,137.1720579085082,-36.88868923335166,174.68710758055482,78.14530725738118,0.21118413050328289,34.792586140181065,178.90273042077771,True,AN,230.0,0.0,50.0,230.11.51.98,12574,224.0.2.0,10000,11.327840899576309,11.33964276282144,11.743636531292438,11.756816083371879,12.591333695799795,12.601958054722719,11.145333118402505,11.151732741393454,12.699626358402043,12.704035600824335,12.325112257036494,12.333219699105266,12.135460641501595,12.153155709256723,12.575302820440418,12.583581940876876,13.146746819623928,13.158547273867828,13.52526282912875,13.529217207458922,der,solar,Solarcity,0,0,0,0,0,0,0,52.654032497584524,14.276390677943388,26.830294458664774,8.146900480358648,5,5,5,5,1,1,0,0
