name,house,floor_area,latitude,longitude,elevation,albedo,roof_tilt,azimuth,aspect_ratio,ceiling_height,ratio_window_wall,ratio_window_roof,roof_area,wall_area,window_area,skylight_area,coefficient_window_transmission,glazing_shgc,R_roof,R_floor,R_wall,R_window,R_skylight,mass_fraction_external_heat,mass_fraction_internal_heat,coefficient_internal_surface,thermal_mass_per_area,mass_change,temp_max,temp_min,air_density,air_heat_capacity,water_density,installed_lights,installed_appliance,utilization,occupancy,schedule,schedule_skew,phase,angle,voltage,frequency,mcast_ip_local,mcast_port_local,mcast_ip_global,mcast_port_global,s0,e0,s1,e1,s2,e2,s3,e3,s4,e4,s5,e5,s6,e6,s7,e7,s8,e8,s9,e9,load_class,load_type,priority,profile,skew,irradiance,irradiance_roof,irradiance_wall1,irradiance_wall2,irradiance_wall3,irradiance_wall4,counter,min_cycletime,min_coolingtime,min_heatingtime,min_chargingtime,min_dischargingtime,charging_counter,discharging_counter,ldc,proposed_status,actual_status,proposed_demand,actual_demand,isotime,temp_out,humidity,windspeed
H001,H001,67.99,-36.893659061796384,174.8465715646012,76.02717229464324,0.31814608844668474,32.59678663284426,0.0,1.4952799419733773,2.4,0.193148174256309,0.0,80.70196230801767,22.32339486383826,4.311722961153026,0.0,0.4979658509368868,0.501378370305807,3.284127032500636,1.3021113066170074,1.9959165086930262,0.2600137176387652,0.2606064568072866,0.50323128242471,0.5275745234148134,0.4501614566232329,419123.74069533875,2.5574159530381926,23.992942900484916,19.991352319782482,1.2249560197806793,1000.085357714091,999.9352390070223,822.4915552329347,557.777292389098,0.19776576219457226,364.4954475830165,P1,-236,AN,0.0,230.0,50.0,236.246.190.68,12340,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,ntcl,baseload,0,house_7,840,0,0,0,0,0,0,29.387165166464907,59.81730540793647,13.932029010324408,36.479986533569246,5,5,5,5,0,1,1,0,0,2020-09-15T16:12:51.853655,15,0.75,2.5
H002,H002,11.69,-36.79723902947526,174.76875163405177,75.83289190459823,0.23344933733356893,36.61137307849634,180.0,1.5120328801869765,2.4,0.09482129832239242,0.0,14.563364843034247,15.69763169574052,1.4884698179768547,0.0,0.49765949502224166,0.4988847277532436,3.299550229110461,1.3060536845085713,1.99970233119392,0.2600080229730367,0.2601725542054106,0.4927964666061193,0.49761403811976485,0.48614331698693625,415164.6515550244,2.301795401156261,23.984308821156585,20.01577825887847,1.2252459260407709,999.9266732368304,999.9648247416224,141.4167712997942,95.90258196835646,0.1877420633367534,364.4954475830165,P2,-212,BN,120.0,230.0,50.0,233.240.198.43,10402,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,ntcl,baseload,0,house_9,840,0,0,0,0,0,0,44.73648555421986,50.59711528107183,8.29153618157944,55.4131481787898,5,5,5,5,0,1,1,0,0,2020-09-15T16:12:51.853655,15,0.75,2.5
H003,H003,14.0,-36.84336720140828,174.80249660814792,78.19552632503891,0.11986916104912951,37.441023102959804,180.0,1.4937176009515893,2.4,0.10527793374508702,0.0,17.632696110809466,16.27409474949538,1.7133030687986432,0.0,0.49860352131127966,0.4978439247502131,3.2704528783661173,1.3002122506302105,1.9993657907175686,0.2600085146724776,0.2604350853338306,0.48975988255736286,0.47486881317745083,0.5571464820847029,413808.16381402756,1.4017613338175485,23.99217269383704,20.00047680890193,1.2251798065738528,1000.0667483475023,999.96499804796,169.36140275424455,114.85339157887,0.19807085610361075,911.2386189575413,P3,19,CN,-120.0,230.0,50.0,224.15.77.40,10041,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,ntcl,baseload,0,house_17,840,0,0,0,0,0,0,31.292159903328617,12.109927622784332,53.99292098860411,41.11828524809449,5,5,5,5,0,1,1,0,0,2020-09-15T16:12:51.853655,15,0.75,2.5
H004,H004,11.37,-36.780879165959334,174.75848258954295,77.95272392646385,0.1348428775820221,38.084919756047505,0.0,1.4764857540861474,2.4,0.11769480519480519,0.0,14.445480345678298,15.610734085298663,1.8373023071171315,0.0,0.49971034144774845,0.5016462392787785,3.2039436965251875,1.3038413306764456,1.9935670640405876,0.2600266496726918,0.2618718024719023,0.5222175661196831,0.4921271208276325,0.4569063741735372,419147.7964782541,3.2843694716908787,24.009046472991812,19.99399005731558,1.2248594995271507,999.8309490959773,999.8734884257661,137.54565352255432,93.27736158941084,0.1989829460044529,911.2386189575413,P4,-765,BN,0.0,230.0,50.0,230.138.30.240,12078,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,ntcl,baseload,0,house_20,840,0,0,0,0,0,0,8.502870655150026,28.850350139681563,23.87922732060038,59.75363362963542,5,5,5,5,0,1,1,0,0,2020-09-15T16:12:51.853655,15,0.75,2.5
H005,H005,19.87,-36.839134902736376,174.80065984872905,76.4557913877301,0.14206675273515107,31.953564612826497,0.0,1.5227882235293377,2.4,0.17146356399265159,0.0,23.41842287788998,17.454636402688575,2.992834165800858,0.0,0.4979522593785835,0.49768306581246285,3.275296006771192,1.3008140288163965,1.991423198619189,0.2600390134711439,0.26102713272661165,0.46509126306873294,0.46956279790143185,0.47687080695220735,415555.14217229455,2.6670372255664474,23.99606813428207,19.994158165982782,1.224938428890597,1000.0094804410209,999.8519768922422,240.37221948048852,163.00977790515336,0.2058635337644574,546.7431713745248,P5,456,CN,120.0,230.0,50.0,230.23.164.157,10736,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,ntcl,baseload,0,house_19,840,0,0,0,0,0,0,45.22155337051762,44.39823815373129,33.539097386459716,27.175557683287515,5,5,5,5,0,1,1,0,0,2020-09-15T16:12:51.853655,15,0.75,2.5
H006,H006,301.94877439311745,-36.77754159568306,174.7854151903698,77.78417127627264,0.16873557128405556,38.13349723618892,182.0750380916017,1.5019016937323224,2.4,0.15000013513071403,0.008309586680729415,383.8783363761052,30.078618630180042,4.511796859072219,3.18987031097145,0.5013214304615725,0.49841151411252055,3.188159540239265,1.303012455271715,1.9977944109238555,0.2600672460879086,0.26028827553606276,0.47696798277806624,0.5271177566159335,0.48066313203425104,417957.5307801558,2.3153845953751007,24.01074389778825,20.010870376696218,1.225162391050854,999.8253485355733,999.9542029138725,3652.747713653092,2477.1314872951853,0.2111831380554936,364.4954475830165,P4,-346,CN,-120.0,230.0,50.0,231.235.196.254,12854,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,ntcl,baseload,0,P1,840,0,0,0,0,0,0,34.472432102656335,22.146142861068984,52.39449754756907,3.5278867159652347,5,5,5,5,0,1,1,0,0,2020-09-15T16:12:51.853655,15,0.75,2.5
H007,H007,200.29213234105967,-36.831263520428394,174.74493233774962,77.64813885470431,0.2067164931491267,32.11324472005101,181.60115747512046,1.4861525630243453,2.4,0.1499573484916496,0.0021441445792576117,236.47267410868508,27.707925488255526,4.155007038422994,0.5070316023326888,0.49953196084847357,0.49563368006580355,3.205537535514871,1.304884915729111,1.990000041911928,0.2600839102284427,0.2613680155867617,0.41617818343496304,0.4950915424126441,0.5078525335304791,416499.7690256814,3.4777237713295883,23.998018402214488,20.00054657148444,1.2250730664492078,1000.0601329575276,999.9235379183345,2422.9826067086183,1643.1593361381842,0.19784762576879972,182.24772379150826,P1,539,AN,0.0,230.0,50.0,232.221.91.102,11374,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,ntcl,baseload,0,P4,840,0,0,0,0,0,0,31.33467665845594,10.29506709424703,38.534823877192906,4.576621459513909,5,5,5,5,0,1,1,0,0,2020-09-15T16:12:51.853655,15,0.75,2.5
H008,H008,161.25870411769813,-36.81555631417916,174.77335684048433,77.54408660800064,0.2653429351081886,34.99822477013012,177.80256295349056,1.5089950999778752,2.4,0.14974761176777646,0.007941675248436282,196.8562575104033,26.532359072169,3.973157405622405,1.563368467770169,0.5012342120890875,0.4952812432230148,3.1792496824444796,1.3021942563120152,1.998611352991713,0.260028653062054,0.2617078494907719,0.48651143404485164,0.5446263732598691,0.5100573198562566,412446.8083366916,1.979169705673189,24.01009148350787,20.001738238934514,1.2249910676429125,1000.2895176965809,1000.0362855237272,1950.7857382646448,1322.9363635379373,0.20767278747796938,911.2386189575413,P1,-95,BN,120.0,230.0,50.0,229.133.115.28,11999,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,ntcl,baseload,0,P2,840,0,0,0,0,0,0,29.72501441888671,15.964433041395065,14.465222905531432,35.88167991977168,5,5,5,5,0,1,1,0,0,2020-09-15T16:12:51.853655,15,0.75,2.5
H009,H009,276.0488922616154,-36.83316382043322,174.80993095337226,75.9135329302644,0.23334909838771214,30.52321242329416,179.16133245045276,1.5321836113478824,2.4,0.15003393650888852,0.005502629070323707,320.45666523785485,29.54394150602072,4.432593844136629,1.7633541619168127,0.5002415727920947,0.5041995033794536,3.2785597301844467,1.303444558459159,1.9999465426099017,0.2600956896396131,0.2614250104129508,0.5147519188353579,0.5487889222499424,0.4694801281621741,414052.8147485116,3.599678127579769,23.992801861006708,20.00960895129343,1.2250028608634582,1000.0150101765237,999.897560567858,3339.4305444416073,2264.653679845472,0.2050697724384583,728.990895166033,P3,293,CN,-120.0,230.0,50.0,226.61.105.212,10169,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,ntcl,baseload,0,P5,840,0,0,0,0,0,0,59.990392023256135,50.12210571356316,45.381178234542574,46.24645750217984,5,5,5,5,0,1,1,0,0,2020-09-15T16:12:51.853655,15,0.75,2.5
H010,H010,137.1720579085082,-36.88868923335166,174.68710758055482,78.14530725738118,0.21118413050328289,34.792586140181065,178.90273042077771,1.504643818561246,2.4,0.14973460128047258,0.0026265728630698636,167.03386227558235,25.687649327410114,3.8463299298723532,0.4387266098667936,0.49791712442505565,0.49940926182677636,3.2604529588743763,1.3002741164045695,1.9941833947475776,0.26004423077423644,0.26200233443432636,0.3541379055359457,0.49873139869429284,0.5013768350437685,413610.45725073316,1.2443349867415745,23.992727998260197,20.01496394982457,1.225158375977217,999.8541672498732,1000.0473253309445,1659.4037247193867,1125.3340057603805,0.19785832294314676,546.7431713745248,P3,282,AN,0.0,230.0,50.0,230.11.51.98,12574,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,ntcl,baseload,0,P4,840,0,0,0,0,0,0,24.406987927115125,27.179573651667475,24.546999290926518,4.496979760357888,5,5,5,5,0,1,1,0,0,2020-09-15T16:12:51.853655,15,0.75,2.5
